time,ClientServer.server.ppp[0].inputHook[0].packet/sec
0,0
0.208638745045,82.3362
0.415109378012,107.058
0.620606120098,123.098
0.823696908004,83.9455
1.026209328597,108.393
1.238399429504,97.6808
1.46362285347,109.292
1.674068976529,139.192
1.87522929854,90.5487
2.107148608956,104.79
2.307549998744,106.411
2.523693634501,75.0502
2.750208637306,139.629
2.950740071246,52.4223
3.198725916036,89.5701
3.410850231223,113.757
3.621826695654,84.4499
3.846812211577,74.3127
4.062118607183,77.6771
4.293847146781,88.0176
4.498351589208,93.2584
4.723532294706,111.406
4.929984986128,102.481
5.134901691974,83.3261
5.362921413059,97.6128
5.567812561637,160.721
5.773136876365,116.32
5.988061837452,74.7247
6.202181109109,85.8074
6.423607293004,125.488
6.630797649537,74.3835
6.832455315101,103.146
7.036050299669,100.321
7.245378666139,119.723
7.445840845383,81.5386
7.654330943247,93.7263
7.857048750131,124.147
8.05842314284,64.2944
8.260618127441,89.5273
8.506353188206,137.959
8.709311599725,87.8785
8.914139866641,79.3352
9.115815841858,120.645
9.32303457464,66.7283
9.532840535952,105.751
9.750332180595,92.9066
